holder,district,address_street,address_building,square,contract,contract_day_start,contract_day_finish,contract_price
Телерадіокомпанія Люкс ПрАТ,Галицький,Галицька пл.,15,421.1,Г-9832-15,28.09.2015,20.10.2021,77345.42
Телерадіокомпанія Люкс ПрАТ,Галицький,Галицька пл.,15,326.4,Г-9833-15,28.09.2015,22.03.2020,60391.85
Телерадіокомпанія Люкс ПрАТ,Галицький,Галицька пл.,15,267,Г-10241-16,25.11.2016,25.11.2021,38152.03
ТЕН тенісний клуб ПП,Галицький,Болгарська,4,99.4,Ш-7572-10,30.07.2010,31.05.2015,1369.48
Терехін В.С.,Личаківський,Левицького К.,105,32.4,Л-9888-15,29.10.2015,27.10.2018,410.97
Територіальне управління Державної судової адмініс,Галицький,Бандери С.,3,1016.7,Г-8004-11,02.11.2011,01.11.2021,Безоплатне використ.
Територіальне управління Державної судової адмініс,Франківський,Бандери С.,3,288.7,Ф-9776-15,10.09.2015,09.09.2018,1 грн. за кв. м. в рік
Територіальне управління Державної судової адмініс,Галицький,Драгоманова М.,25,1240.9,Г-7644-10,28.12.2010,13.12.2020,1 грн. в рік
Територіальне управління Державної судової адмініс,Галицький,Лепкого Б.,16,1667.1,Г-8003-11,02.11.2011,01.11.2021,Безоплатне використ.
Територіальне управління Державної судової адмініс,Галицький,Сiчових Стрiльцiв,12,911.2,Г-9210-14,20.10.2014,16.10.2024,Безоплатне використ.
Територіальне управління Державної судової адмініс,Франківський,Чупринки Т. ген.,69,1065.9,Ф-9211-14,21.10.2014,16.10.2024,Безоплатне використ.
Територіальне управління Державної судової адмініс,Галицький,Щепкiна,4,89,Г-8005-11,02.11.2011,01.11.2021,Безоплатне використ.
Територіальне уп-я державної судової адміністрації,Галицький,Лепкого Б.,16,1439.5,Г-5207-7,19.04.2007,18.04.2010,Безоплатне використ.
Територія терору ММТР,Личаківський,Левицького К.,67,164.8,Л-9516-15,01.04.2015,29.03.2018,1 грн. в рік
Територія терору ММТР,Шевченківський,Пiдзамче,10,420.9,Ш-7916-11,20.07.2011,15.07.2036,1 грн. в рік
Тимкiв О.Б.,Личаківський,Тарнавського М. ген.,16,27.2,Л-10296-16,29.11.2016,29.11.2021,170.63
Тимовчак Юрій Михайлович ФОП,Залізничний,Виговського I.,72,3.8,З-9125-14,14.08.2014,11.08.2017,275.83
Тимчишин М. Є.,Галицький,Шептицьких,12,59.3,Г-10434-17,11.01.2017,11.01.2027,1042.06
Тимяк Ю. В.,Личаківський,Коциловського Й., 12а,22.5,Л-9595-15,25.05.2015,21.05.2018,264.21
Тімохіна С. Г.,Личаківський,Кониського О.,1,28.7,Л-10026-16,25.03.2016,24.03.2019,1126.57
Тіосса Дмитро Валерійович ФОП,Шевченківський,Лемкiвська,28,18.9,Ш-9605-15,01.07.2015,03.06.2018,2.77
ТОВАРИСТВА СЛІПИХ ЛОО,Галицький,Сiчових Стрiльцiв,5,337.2,Г-8048-11,08.12.2011,06.12.2021,2841.55
ТОВАРИСТВА СЛІПИХ ЛОО,Галицький,Сiчових Стрiльцiв,5,158.7,Г-6298-8,09.06.2008,09.06.2033,9051.26
Товариство захисту дітей-інвалідів хворих на дитяч,Сихівський,Днiстерська,12,93.5,С-9162-14(Д-16),31.03.2016,14.09.2017,1174.65
ТОВАРИСТВО КУЛЬТУРИ ЛЬВІВСЬКИХ УГОРЦІВ,Галицький,Ринок пл.,35,22.5,Г-9489-15,10.03.2015,09.03.2018,996.11
ТОВАРИСТВО ПОЛІТИЧНИХ В'ЯЗНІВ І РЕПРЕСОВАНИХ,Галицький,Стара,13,118.2,Ш-7423(1)-9,31.12.2009,30.12.2012,1 грн. в рік
ТОВАРИСТВО ПОЛІТИЧНИХ В'ЯЗНІВ І РЕПРЕСОВАНИХ,Личаківський,Ярошинської Є.,1,117.1,Л-9813-15,17.09.2015,15.09.2018,4850.24
Товариство Червоного Хреста України ЛОО,Франківський,Героїв УПА(кол.Тургенєва),78,29.3,Ф-10235-16,23.11.2016,22.11.2019,733.06
Товариство Червоного Хреста України ЛОО,Франківський,Здоров'я,10,31.7,Ф-8907-13,23.12.2013,23.12.2018,330.21
Товариство Червоного Хреста України ЛОО,Шевченківський,Окуневського Т.,1,46.8,Ш-8908-13,23.12.2013,23.12.2018,869.36
Товариство Червоного Хреста України ЛОО,Галицький,Франка I.,16,32.8,Г-9134-14,15.08.2014,14.08.2017,696.95
Товариство Червоного Хреста України ЛОО,Сихівський,Червоної Калини,57,29,С-9148-14,02.09.2014,01.09.2017,57.92
Товариство Червоного Хреста України ЛОО,Галицький,Ярослава Мудрого, 12а,22.7,Г-9250-14,13.11.2014,12.11.2017,476.29
Токарев Ю.М.,Франківський,Симоненка В.,4,22.9,Ф-8451-12,12.10.2012,12.10.2017,220.68
Томенчук Л.М.  СПД,Галицький,Самчука У., ,6.6,Г-5416-7,25.07.2007,21.07.2016,1191.07
Томенчук Михайло Миколайович ФОП,Галицький,Самчука У., ,6.4,Г-9491-15,12.03.2015,01.03.2017,1085.12
ТОРГОВИЦЯ,Личаківський,Садовського М.,3,15,5119,23.02.1996,30.10.2016,189.52
ТОТ фірма  ТзОВ,Шевченківський,Варшавська,49,81.3,Ш-8999-14,12.04.2014,10.04.2017,5267.71
ТРАП ДК ТРП,Шевченківський,Заводська, 30а,226.3,Ш-3520-5 дод,29.12.2005,28.12.2008,1 грн. в рік
ТРАП ДК ТРП,Шевченківський,Пiдзамче,10,277.5,Ш-9360-15,13.01.2015,12.01.2018,1 грн. в рік
Трач М. I.,Франківський,Нечуя-Левицького I.,23,33.1,Ф-9541-15,21.04.2015,20.04.2018,709.15
ТРЕМБІТА заслужена капела України,Галицький,Сiчових Стрiльцiв,10,358.6,Г-7444-10,12.02.2010,12.02.2035,1 грн. в рік
Третя Хвиля ГО,Галицький,Стецька Я.,6,32.2,Г-9230-14,31.10.2014,30.10.2017,334.38
Третякова Марія Володимирівна ФОП,Франківський,Симоненка В.,4,33.7,Ф-9481-15,10.03.2015,09.03.2018,470.08
Трибушна Алла Едуардівна ФОП,Сихівський,Кос-Анатольського А.,22,5.5,С-10336-16,20.12.2016,19.12.2019,240.59
Тривіта загальноосвітня авторська школа,Сихівський,Зубрiвська,1,1649.2,С-10305-16,01.12.2016,29.11.2019,1 грн. за кв. м. в рік освіта
Тринько Я.Р.,Личаківський,Зелена,34,23.3,Л-8766-13,05.09.2013,04.09.2016,191.75
Тріска О. О.,Личаківський,Пiскова,27,25.8,Л-9573-15,13.05.2015,12.05.2018,401.06
Трохимчук В. В.,Шевченківський,Єрошенка В.,5,25.5,Ш-9151-14,04.09.2014,03.09.2017,206.7
Троцько Я.П.,Личаківський,Погулянка,41,45.8,Л-8150-12,27.02.2012,17.02.2017,432.88
Труш І. Р.,Галицький,Князя Р.а, 12-14,41.4,Г-9656-15,18.06.2015,17.06.2018,908.44
Тумашов А.В.,Галицький,Коперника М.,33,21.8,Г-5211-7,20.04.2007,15.04.2016,248.73
ТУРЕ ЗАГАВ релігійна громадаПРОГРЕСИВНОГО ІУДАЇЗМУ,Галицький,Федорова I.,29,19.8,Г-9936-15,22.12.2015,21.12.2018,1778.54
ТурейЗагав Єврейська релігійна громада,Галицький,Федорова I.,29,55.1,Г-48-17суб,16.02.2017,29.11.2019,3062.6
Турецький Д.Б.,Галицький,Кирила i Мефодiя,18,52.7,Г-9137-14,15.08.2014,14.08.2017,539.6
Турчин С. В.,Галицький,Шашкевича М. пл.,2,14.4,Г-10243-16,28.11.2016,24.11.2019,169.31
Угрин С.М.ФОП,Личаківський,Слiпого Й.,10,40.2,Л-10163-16,24.06.2016,24.06.2021,619.98
УДЮМК   Личаківського р-ну м.Львова,Шевченківський,Зустрiчна,1,68,Ш-9510-15,02.04.2015,01.04.2018,1 грн. в рік
УДЮМК   Личаківського р-ну м.Львова,Личаківський,Китайська,4,180.4,Л-9666-15(Д-16),24.03.2016,24.06.2018,1 грн. в рік
УДЮМК   Личаківського р-ну м.Львова,Личаківський,Корольова С.,10,110.1,Л-9430-15,02.04.2015,01.04.2018,1 грн. в рік
УДЮМК   Личаківського р-ну м.Львова,Личаківський,Коциловського Й.,16,73.4,Л-9431-15,02.04.2015,01.04.2018,1 грн. в рік
УДЮМК   Личаківського р-ну м.Львова,Личаківський,Левицького К.,67,14.3,Л-9432-15,02.04.2015,01.04.2018,1 грн. в рік
УДЮМК   Личаківського р-ну м.Львова,Личаківський,Медової Печери,29,60,Л-9428-15,02.04.2015,01.04.2018,1 грн. в рік
УДЮМК   Личаківського р-ну м.Львова,Личаківський,Пасiчна,64,32.2,Л-9429-15,02.04.2015,01.04.2018,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Колесси Ф. акад.,8,35.3,Г-10368-16,26.12.2016,25.12.2019,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Лiста Ф.,2,74.9,Г-10371-16,26.12.2016,25.12.2019,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Огiєнка I.,18,71.7,Г-10367-16,26.12.2016,25.12.2019,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Сихівський,Свєнцiцького I.,7,281.2,Г-10175-16,05.07.2016,04.07.2019,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Стрийська,20,79.4,Г-9084-14,03.07.2014,02.07.2017,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Стрийська,24,47.3,Г-10370-16,26.12.2016,25.12.2019,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Стрийська,24,50.1,Г-10372-16,26.12.2016,25.12.2019,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Тютюнникiв,25,64.6,Г-9028-14,16.05.2014,15.05.2017,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Тютюнникiв,49,252.2,Г-5413-7,23.07.2007,23.07.2022,1 грн. в рік
УДЮМК  Галицького р-ну м.Львова,Галицький,Франка I.,54,57.1,Г-10369-16,26.12.2016,25.12.2019,1 грн. в рік
УДЮМК  Залізничного р_ну м.Львова,Залізничний,Городоцька,293,103,З-10428-17,10.01.2017,09.01.2020,1 грн. в рік
УДЮМК  Залізничного р_ну м.Львова,Залізничний,Комарова В.,3,37.3,З-9237-14,31.10.2014,30.10.2017,1 грн. в рік
УДЮМК  Залізничного р_ну м.Львова,Залізничний,Кульпаркiвська,160,131.5,З-9236-14,31.10.2014,30.10.2017,1 грн. в рік
УДЮМК  Залізничного р_ну м.Львова,Залізничний,Озаркевича Є.,6,34,З-9233-14,31.10.2014,30.10.2017,1 грн. в рік
УДЮМК  Залізничного р_ну м.Львова,Залізничний,Петлюри С.,36,329.5,З-9234-14(Д-16),14.12.2016,30.10.2017,1 грн. в рік
УДЮМК  Залізничного р_ну м.Львова,Залізничний,Петлюри С.,37,99.1,З-9238-14,31.10.2014,30.10.2017,1 грн. в рік
УДЮМК  Залізничного р_ну м.Львова,Залізничний,Петлюри С.,39,113.5,З-9235-14,31.10.2014,30.10.2017,1 грн. в рік
УДЮМК  Залізничного р_ну м.Львова,Залізничний,Суботiвська,7,88.9,З-10104-16,17.05.2016,15.05.2019,1 грн. в рік
УДЮМК  Сихівського р-ну м.Львова,Сихівський,Бiлоцеркiвська,1,32.1,С-9121-14,30.07.2014,29.07.2017,1 грн. в рік культура
УДЮМК  Сихівського р-ну м.Львова,Сихівський,Енергетична,1,63,С-9120-14,30.07.2014,29.07.2017,1 грн. в рік культура
УДЮМК  Сихівського р-ну м.Львова,Сихівський,Сихiвська,14,112.4,С-10055-16,20.04.2016,19.04.2019,1 грн. в рік
УДЮМК  Сихівського р-ну м.Львова,Сихівський,Трильовського К.,17,258.9,С-10049-16,15.04.2016,14.04.2019,1 грн. в рік освіта
УДЮМК  Сихівського р-ну м.Львова,Сихівський,Червоної Калини,61,15.4,С-9242-14,10.11.2014,06.11.2017,1 грн. в рік
УДЮМК  Сихівського р-ну м.Львова,Сихівський,Червоної Калини,66,13.19,С-9872-15,20.10.2015,19.10.2018,1 грн. в рік
УДЮМК  Шевченківського р-ну м.ЛЬВОВА,Шевченківський,Варшавська,167,70.1,Ш-9346-15,06.01.2015,05.01.2018,1 грн. в рік
УДЮМК  Шевченківського р-ну м.ЛЬВОВА,Шевченківський,Замарстинiвська,71,60.2,Ш-9106-14,22.07.2014,21.07.2017,1 грн. в рік
УДЮМК  Шевченківського р-ну м.ЛЬВОВА,Шевченківський,Замарстинiвська,71,62.9,Ш-9073-14,01.07.2014,26.06.2017,1 грн. в рік
УДЮМК  Шевченківського р-ну м.ЛЬВОВА,Шевченківський,Золота, 22а,110.1,Ш-9343-15,06.01.2015,05.01.2018,1 грн. в рік
УДЮМК  Шевченківського р-ну м.ЛЬВОВА,Шевченківський,Мазепи I. гетьмана, 13а,173,Ш-9518-15,04.04.2015,03.04.2018,1 грн. в рік
УДЮМК  Шевченківського р-ну м.ЛЬВОВА,Галицький,Чорновола В. просп.,19,53.7,Г-9344-15,06.01.2015,05.01.2018,1 грн. в рік
УДЮМК Франківського р-ну м.ЛЬВОВА,Франківський,Володимира Великого,11,44.5,Ф-9086-14,04.07.2014,03.07.2017,1 грн. в рік
УДЮМК Франківського р-ну м.ЛЬВОВА,Франківський,Володимира Великого,39,194.4,Ф-9089-14,04.07.2014,03.07.2017,1 грн. в рік
УДЮМК Франківського р-ну м.ЛЬВОВА,Франківський,Гiпсова, 40б,116.4,Ф-9079-14,03.07.2014,01.07.2017,1 грн. в рік
УДЮМК Франківського р-ну м.ЛЬВОВА,Франківський,Граб'янки Г.,13,48.6,Ф-9474-15,02.03.2015,01.03.2018,1 грн. в рік
УДЮМК Франківського р-ну м.ЛЬВОВА,Франківський,Грюнвальдська,3,62.8,Ф-9472-15,02.03.2015,01.03.2018,1 грн. в рік
УДЮМК Франківського р-ну м.ЛЬВОВА,Франківський,Мельника А.,7,75.2,Ф-5412-7,20.07.2007,20.07.2022,1 грн. в рік
УДЮМК Франківського р-ну м.ЛЬВОВА,Франківський,Наукова,76,29.1,Ф-9087-14,04.07.2014,03.07.2017,1 грн. в рік
УДЮМК Франківського р-ну м.ЛЬВОВА,Франківський,Чупринки Т. ген.,85,28.9,Ф-9373-15,19.01.2015,18.01.2018,1 грн. в рік
У-КАН інтерсервіс  ТзОВ,Залізничний,Городоцька,104,64.4,З-9567-15,30.04.2015,30.04.2020,3924.18
УкрА  ЛВСА ТзОВ  ЛООсуб.ЛОО Всеукраїнської спілки,Шевченківський,Лобачевського М.,23,89.9,Ш-5594-7,28.09.2007,25.09.2019,8815.92
УКРАВТОКОМ,Залізничний,Калнишевського П.,16,178.5,З-9310-14,23.12.2014,22.12.2017,20328.46
Україн. спілка ветеранів Афганістану Залізн.рай.ор,Залізничний,Виговського I.,34,16.4,З-9702-15,22.07.2015,19.07.2018,1 грн. в рік
Україн.спілка ветеранів Афганістану Шевчен.рай.орг,Шевченківський,Городницька,31,114.8,Ш-9698-15,20.07.2015,19.07.2018,1 грн. в рік
УКРАЇНА-ІЗРАЇЛЬ   ЛО асоціація,Галицький,Федорова I.,29,55.1,Г-10307-16,30.11.2016,29.11.2019,2552.16
УКРАЇНСЬКА МОЛОДЬ ХРИСТОВІ  ЛМГО,Шевченківський,Бiберовича I.,9,251.4,Ш-9004-14,18.04.2014,17.04.2017,603.74
УКРАЇНСЬКА МОЛОДЬ ХРИСТОВІ  ЛМГО,Личаківський,Пекарська,13,131.5,Л-9005-14,18.04.2014,17.04.2017,315.8
УКРАЇНСЬКА МОЛОДЬ ХРИСТОВІ  ЛМГО,Личаківський,Пекарська,13,319.9,Л-8135-12,15.02.2012,18.01.2018,789.3
Українська республіканська партія Львівська крайов,Галицький,Маланюка Є.  пл.,6,20.8,Г-9907-15,19.11.2015,18.11.2018,572.27
Українська спілка ветеранів Афганістану Сихівська,Сихівський,Трильовського К.,12,58.8,С-9843-15,02.10.2015,01.10.2018,1 грн. в рік освіта
Українське товариство глухих ЛОО,Шевченківський,Окуневського Т.,1,133.6,Ш-9451-15,27.02.2015,26.02.2018,1656.23
"Українське товариство тверезості та здоров""я ЛОО",Франківський,Здоров'я, 9а,43.6,Ф-9881-15,26.10.2015,25.10.2018,779.19
Український фонд соціальних інвестицій,Шевченківський,Липинського В.,11,42.6,Ш-9887-15,27.10.2015,26.10.2018,Безоплатне використ.
УКРГАЗБАНК  ЛФ ПАТ АКБ,Галицький,Хмельницького Б.,5,228.8,Г-9779-15(Д-16),05.04.2016,09.09.2018,96714.94
Укрзахіденерго ПАТ,Галицький,Галицька пл.,15,306.5,Г-10089-16(Д-16),28.11.2016,03.04.2018,45159.24
Укрзахідпроектреставрація ДП УРСНРІ,Галицький,Соборна пл., 3а,1129.1,Г-8822-13,22.10.2013,17.10.2018,80060.47
Укрінтеравтосервіс Укр. держ. п-во по обслуг. іно,Шевченківський,Миколайчука I.,24,123.3,Ш-10137-16,02.06.2016,01.06.2019,10493.2
УКРІНФОРМ Українське нац.інформ.агенство,Галицький,Шевченка Т. просп.,11,325.9,Г-5629-7,10.10.2007,10.10.2017,1 грн. за кв. м. в рік
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Галицький,Бандери С.,24,164.8,Г-10111-16,18.05.2016,15.05.2019,7183.08
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Галицький,Валова,14,206,Г-8994-14,09.04.2014,07.04.2019,32928.25
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Шевченківський,Варшавська,54,130.4,Ш-9810-15/1,15.09.2016,13.09.2018,8627.71
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Залізничний,Величковського I.,38,150.1,З-10113-16,30.05.2016,15.05.2019,2927.19
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Франківський,Володимира Великого,22,430.1,Ф-10490-17,17.02.2017,17.02.2018,3733.72
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Личаківський,Глинянський Тракт, 161а,100.2,Л-9793-15/1,15.09.2016,13.09.2018,4804.43
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Франківський,Городоцька,151,107.8,Ф-8992-14,09.04.2014,07.04.2019,7965.08
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Залізничний,Городоцька,251,130.1,З-9801-15/1,15.09.2016,13.09.2018,7406.6
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Залізничний,Городоцька,87,115.8,З-9794-15/1,15.09.2016,13.09.2018,8029.07
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Галицький,Гребiнки Є.,6,204,Г-10112-16,30.05.2016,15.05.2019,8586.64
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Сихівський,Днiстерська,12,178.9,С-9791-15/1,15.09.2016,13.09.2018,10300.43
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Сихівський,Довженка О.,6,203.8,С-9807-15/1,15.09.2016,13.09.2018,11169.61
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Шевченківський,Замарстинiвська,28,149.4,Ш-9782-15/1,15.09.2016,13.09.2018,8575.1
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Личаківський,Івасюка В.,19,119.6,Л-9798-15/1,15.09.2016,13.09.2018,7023.77
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Франківський,Коновальця Є.,97,112.3,Ф-9797-15/1,15.09.2016,13.09.2018,7621.12
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Франківський,Кульпаркiвська,131,230,Ф-9784-15/1,15.09.2016,13.09.2018,12881.52
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Личаківський,Личакiвська,119,76.4,Л-9783-15/1,15.09.2016,13.09.2018,4742.99
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Личаківський,Личакiвська,69,64.7,Л-9799-15/1,15.09.2016,13.09.2018,3696.29
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Шевченківський,Мазепи I. гетьмана,11,116.5,Ш-9789-15/1,15.09.2016,13.09.2018,6525.73
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Шевченківський,Мазепи I. гетьмана,26,166.3,Ш-9808-15/1,15.09.2016,13.09.2018,11059.4
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Галицький,Мартовича Л.,2,166.2,Г-8995-14,09.04.2014,07.04.2019,17233.07
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Франківський,Наукова,30,149.3,Ф-9790-15/1,15.09.2016,13.09.2018,9593.77
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Франківський,Окружна,33,86.8,Ф-9802-15/1,15.09.2016,13.09.2018,4966.07
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Франківський,Пасiчна,102,130.7,Ф-9803-15/1,15.09.2016,13.09.2018,7246.9
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Франківський,Пасiчна,43,126.4,Ф-9806-15/1,15.09.2016,13.09.2018,7173.77
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Залізничний,Патона Є., 4/1,148.5,З-9787-15/1,15.09.2016,13.09.2018,8316.42
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Залізничний,Петлюри С.,2,180.5,З-9804-15/1,15.09.2016,13.09.2018,9962.87
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Залізничний,Петлюри С.,36,206.2,З-10110-16,30.05.2016,15.05.2019,4190.14
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Залізничний,Повiтряна,12,103.6,З-9805-15/1,15.09.2016,13.09.2018,5516.47
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Сихівський,Сихiвська,11,157.2,С-9786-15/1,15.09.2016,13.09.2018,8294.84
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Сихівський,Стрийська,78,194.6,С-9800-15/1,15.09.2016,13.09.2018,10494.94
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Сихівський,Тернопiльська,9,88.4,С-9795-15/1,15.09.2016,13.09.2018,5200.09
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Галицький,Франка I.,91,130,Г-9788-15/1,15.09.2016,13.09.2018,11063.28
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Шевченківський,Хмельницького Б.,145,94.8,Ш-9796-15/1,15.09.2016,13.09.2018,5627.82
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Шевченківський,Хмельницького Б.,257,203.2,Ш-9792-15/1,15.09.2016,13.09.2018,12622.6
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Шевченківський,Шевченка Т.,374,120.1,Ш-9785-15/1,15.09.2016,13.09.2018,6744.37
УКРПОШТА  ЛД  УДЦПЗ   Львівська дирекція,Шевченківський,Шевченка Т.,92,132.1,Ш-9809-15/1,15.09.2016,13.09.2018,7707.53
УКРТЕЛЕКОМ          ПАТ,Франківський,Володимира Великого,39,48.9,Ф-10286-16,25.11.2016,25.11.2019,3590.83
УКРТЕЛЕКОМ          ПАТ,Галицький,Галицька пл.,7,102.9,Г-9770-15,31.08.2015,30.08.2018,113762.55
УКРТЕЛЕКОМ          ПАТ,Шевченківський,Жовкiвська, 17а,26.1,Ш-10287-16,25.11.2016,25.11.2019,1764.56
УКРТЕЛЕКОМ          ПАТ,Галицький,Кулiша П.,22,7.3,Г-10412-16,30.12.2016,30.11.2019,1676.68
УКРТЕЛЕКОМ          ПАТ,Личаківський,Личакiвська,147,35.6,Л-10488-17,16.02.2017,16.02.2020,2073.91
УКРТЕЛЕКОМ          ПАТ,Сихівський,Сихiвська,14,97.1,6828,16.02.1998,24.12.2017,1461.74
УКРТЕЛЕКОМ          ПАТ,Галицький,Франка I.,148,13.9,Г-4529-6,18.07.2006,17.07.2016,415.85
УМВС у Львiвскiй областi,Галицький,Бандери С.,28,23.6,7722,01.01.1999,01.01.2002,1 грн. в рік
Унiверситет iм.Франка  Львiвський нацiональний,Галицький,Крушельницької С.,5,286.5,Г-8859-13,14.11.2013,11.11.2023,1 грн. за кв. м. в рік
Універсальна наукова бібліотека ЛО,Галицький,Калiча Гора,14,78.2,Г-9585-15,15.05.2015,14.05.2018,1 грн. за кв. м. в рік
Універсальна наукова бібліотека ЛО,Галицький,Князя Романа,32,168.4,Г-9586-15,15.05.2015,14.05.2018,1 грн. за кв. м. в рік
Універсальна наукова бібліотека ЛО,Галицький,Мулярська, 2а,464,Г-9900-15,19.11.2015,18.11.2018,1 грн. за кв. м. в рік культура
Універсальна наукова бібліотека ЛО,Галицький,Поповича Є.,17,63.6,Г-9899-15,19.11.2015,18.11.2018,1 грн. за кв. м. в рік
Унілаб ТзОВ,Залізничний,Виговського I.,32,17.3,З-9415-15,17.02.2015,13.02.2018,535.86
Управління державної казначейської служби у Галиць,Галицький,Дудаєва Дж.,19,191.9,Г-9575-15,14.05.2015,13.05.2018,1 грн. за кв. м. в рік
Управління державної казначейської служби у Залізн,Залізничний,Виговського I.,34,255,З-9704-15,23.07.2015,22.07.2018,1 грн. за кв. м. в рік
Управління державної казначейської служби у Личакі,Личаківський,Левицького К., 82а,396,Л-9918-15,26.12.2015,25.12.2018,1 грн. за кв. м. в рік
Управління Державної казначейської служби у Сихівс,Сихівський,Червоної Калини,66,154.58,С-9384-15,26.01.2015,25.01.2018,1 грн. за кв. м. в рік
Управління державної казначейської служби у Франкі,Франківський,Конотопська,6,266.6,Ф-9129-14,13.08.2014,12.08.2017,1 грн. за кв. м. в рік
Управління державної казначейської служби у Шевч,Галицький,Городоцька,16,219.1,Ш-9212-14,16.10.2014,15.10.2017,1 грн. за кв. м. в рік
Управління Державної пенітенціарної служби України,Франківський,Героїв УПА(кол.Тургенєва),78,16.5,Ф-9051-14,12.06.2014,11.06.2017,1 грн. за кв. м. в рік
Управління Державної пенітенціарної служби України,Сихівський,Хуторiвка,24,18.1,С-10022-16,24.03.2016,23.03.2019,1 грн. за кв. м. в рік
УПРАВЛІННЯ ДЕРЖАВНОЇ РЕЄСТРАЦІЇ ЛМР,Залізничний,Городоцька,299,217.6,З-10188-16,08.11.2016,07.11.2019,1 грн. в рік
Управління з питань надзвичайних ситуацій та цивіл,Галицький,Стефаника В.,4,232.8,Г-10001-16,02.03.2016,01.03.2019,1 грн. в рік
Управління мунiципал.дружини ЛМР,Галицький,Свободи просп.,24,222.6,Г-9708-15,24.07.2015,23.07.2018,1 грн. в рік
Управління освіти департаменту гуманітарної політи,Галицький,Ринок пл.,9,570.6,Г-9328-14,30.12.2014,29.12.2017,1 грн. в рік
"Управління охорони здоров""я Департаменту гуманітар",Личаківський,Левицького К., 82а,205.4,Л-7047-9,19.03.2009,19.03.2024,1 грн. в рік медицина
"Управління охорони здоров""я Департаменту гуманітар",Личаківський,Левицького К., 82а,127.3,Л-7694-11,20.01.2011,20.01.2021,1 грн. в рік медицина
"Управління охорони,використання і відтворення водн",Сихівський,Тернопiльська, 2А,147.9,С-9316-14,24.12.2014,24.12.2024,1 грн. за кв. м. в рік
Управління поліції охорони у Львівській області,Сихівський,Зубрiвська, 25а,48.7,С-9529-15(Д-16),04.07.2016,07.04.2018,5715.64
Управління поліції охорони у Львівській області,Личаківський,Пекарська,22,128,Л-9528-15(Д-16),01.04.2016,07.04.2018,17574.87
Управління поліції охорони у Львівській області,Галицький,Саксаганського П.,9,43.4,Г-9676-15(Д-16),01.04.2016,02.07.2018,12069.56
Управління СБУ у Львівській області,Личаківський,Пасiчна,104,54.1,Л-5796-7,19.11.2007,19.11.2010,1 грн. за кв. м. в рік
